image_id,image_type,chunk_id,zip_name,source_path,source_size_bytes
0005e8e3701dfb1dd93d53e2ff537b6e,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/0005e8e3701dfb1dd93d53e2ff537b6e.dicom,18874874
0007d316f756b3fa0baea2ff514ce945,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/0007d316f756b3fa0baea2ff514ce945.dicom,13271518
000d68e42b71d3eac10ccc077aba07c1,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/000d68e42b71d3eac10ccc077aba07c1.dicom,6609510
00150343289f317a0ad5629d5b7d9ef9,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/00150343289f317a0ad5629d5b7d9ef9.dicom,12665874
001d127bad87592efe45a5c7678f8b8d,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/001d127bad87592efe45a5c7678f8b8d.dicom,18874874
0046f681f078851293c4e710c4466058,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/0046f681f078851293c4e710c4466058.dicom,6790470
0061cf6d35e253b6e7f03940592cc35e,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/0061cf6d35e253b6e7f03940592cc35e.dicom,15606266
00675cd546313f912cadd4ad54415d69,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/00675cd546313f912cadd4ad54415d69.dicom,15594778
008b3176a7248a0a189b5731ac8d2e95,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/008b3176a7248a0a189b5731ac8d2e95.dicom,15766950
009d4c31ebf87e51c5c8c160a4bd8006,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/009d4c31ebf87e51c5c8c160a4bd8006.dicom,15964834
009d837e29ba400e03856cf8d6a5b545,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/009d837e29ba400e03856cf8d6a5b545.dicom,6137888
00aca42a24e4ea6066cca2546150c36e,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/00aca42a24e4ea6066cca2546150c36e.dicom,18431704
00bcb82818ea83d6a86df241762cd7d0,abnormal,1,vinbigdata_subset_dicom_part_001.zip,/kaggle/input/competitions/vinbigdata-chest-xray-abnormalities-detection/train/00bcb82818ea83d6a86df241762cd7d0.dicom,4394740
