image_id,original_image_id,is_negative,annotation_count
6,00291f7aff0123ea76a59998effef229,True,0
8,004d2bc2111d639f5e8441ced52d55cb,True,0
14,00a9f697d85a506d5b281f588addce4e,True,0
17,00e25f831ccd21bd41b558cfccbf1be7,True,0
29,015d74d7d2667a9b93b8909283af38c8,True,0
33,01892129d76aaa1f59d4b22df8a14c0b,True,0
60,02cbfa27d9e4b1d8c279932cd82e0730,True,0
66,032111ac5bb2e0cbb9a22745a77eef8f,True,0
74,036161ca6aa4daa43cc3bc55602e8960,True,0
88,041664dfb960a15686d7e9c4c7b4fd73,True,0
90,0424e80c4f0cae6ea9e65efeed75d5d0,True,0
105,04e78baf5f049a01b6b4f9a14f0b7c78,True,0
132,063319de25ce7edb9b1c6b8881290140,True,0
160,07e5378ad3928091c08dded1f6b5353d,True,0
168,089a1c26766c10e2d8c4cdb86ed769dc,True,0
188,09ebaedff630f8fa4d5d752f0beb34f2,True,0
202,0a475ad0b37bba0c638bbbe2ee5d355d,True,0
207,0a695a94168b32705b91779586c6b2e7,True,0
213,0ad98c531de3616cc63a92d6cf871494,True,0
217,0b36cce0b170c34b8c11fd15b42324b2,True,0
239,0c4a6bc602d1d207f217212c68a7131b,True,0
252,0cd291c189895fbdcc14f4d36e1abc81,True,0
255,0cf8dd905fb4f2f876eb241bf67add40,True,0
259,0d0e4dbe84356f8ec4a4ff7616b4850f,True,0
288,0ec4947d689af2a94cc913b312368279,True,0
302,0f8a78e1090c840b4455772fe92d7586,True,0
304,0fb6d9a425117670ba7c249b35523434,True,0
308,101d984c4172312c93efdd42e37e203b,True,0
309,101f2420808891cab10b4b2f0c1d2875,True,0
318,107d7671377160a4a5d708849ed5d331,True,0
327,112db7d495906f3358852756a87a4bbf,True,0
339,11b47878746ba8728eda0f9eed048639,True,0
340,11cfa1a5b04bd1eaa319d08cdb308bb9,True,0
353,12735a3e6ae44fe59babe2a618dbc450,True,0
368,13183cb48b0aae02e88c3f45547d393a,True,0
382,144e272e04daf6ac8d36548ea766da37,True,0
391,14783d2f57f9c689d827892bbe112cb8,True,0
392,14877acfaf8e3b25d9f089e15887c20d,True,0
417,15f016248709de49e2b725bda5cdd787,True,0
428,1688c69504b9fd2179225d4b03e677c0,True,0
438,171c5e2bbf7f95d2fb60a8bd81dc9d37,True,0
444,1734a9172a7aa8106b1f32bf7b280e28,True,0
450,179c892993a09dd56d4d09be53489d74,True,0
455,17c2cd33dd23c4ae46c9738e3c346531,True,0
456,17c980696d1aa513ab00665f1eff7bd6,True,0
459,17eea018beec6ef78ec675919080e6a1,True,0
472,18ca65f3991cd9e0339abe5d0dcdfc71,True,0
476,18ee5156937f823acee35e15110c6521,True,0
489,19c193dfd9cd25eaaed6196a21ccafda,True,0
491,19f915a7d8d00addb6a4846e623b4bfc,True,0
504,1ac82901d20fd381f9aee67859846cef,True,0
517,1b4daa200fc8f2a3c792ca61b7c8857d,True,0
524,1b95d6b2be1f6e89e865704024d1944b,True,0
529,1bcf6203521944e6222a000fec9fab38,True,0
531,1bf0c30ec9cf3abe34938787e5f9fc28,True,0
536,1c291f2d783a88bb29d4f0973d820cb0,True,0
539,1c3e88d7eb1849e80d109ab2f059a2e1,True,0
544,1c62f00b3228d2e131a84d1889e213cc,True,0
545,1c9e6dbfe347fb693c6c9e0cd82113c8,True,0
550,1cfebd799d9854a50bfa74e0271f358e,True,0
552,1d170ae6d3f174b88d55b7a44e1b8963,True,0
560,1d63eea24a9f69bc17f1da7af4ffa19a,True,0
567,1dbb725a05c9543e9bd2593ac079f970,True,0
573,1e0186710c1b727da188c139c83a820b,True,0
594,1f13fb95804f83251401097b2bb4aacf,True,0
596,1f1b451ebe38481d18a61961c9435a64,True,0
609,2033bbf90fa9b91519bac29eb334673a,True,0
610,20374abc6a6d82a106212cddd740a99c,True,0
614,2077dfb717706d5ce9a373f1672e869c,True,0
616,2094cd7cf01e7e283818e836115596c4,True,0
625,2139901070c5471f0e289e216bc90198,True,0
660,2300d60e735d646de5632275313f9c95,True,0
669,23ada7eb0d82a360190e77da2edfcf8f,True,0
705,2550db13e3e4174fb2980fbc965c4856,True,0
719,25e47d32d64f7f416d6fb1bf497b4b1a,True,0
725,26045d6e5c9397d08825496593fbc291,True,0
726,262cd3e70a033d61a7236aa971be339a,True,0
727,264fdebe57965c3292ce07c7b4be8c39,True,0
734,267e7d6c78b3bc498461b69668eb44f8,True,0
753,2752b250ca52cd0afe8b4b980e82310b,True,0
754,27689b23167e89e1142f6fa265921a3a,True,0
766,27e1d29f27cfe7f88225f4660e75615e,True,0
769,27eeacb2cf6ea95a95e0c60a914d45a3,True,0
780,2877640e69c0276243177a341ed74742,True,0
784,28c18bf8fcb6c11c5fbc7c00d9f5bacc,True,0
790,294c1b068fb6ecfd27f5106e744ddb4b,True,0
792,2988c0540fad8e078a609d7672525d5a,True,0
797,29cf3341c2f0195c0faddcf2e640045b,True,0
807,2a3cc19a099f06f80007cceb75d43bf0,True,0
827,2b55e75bee255de5460976f84d18b76f,True,0
833,2b8cead1c95f1a83f7ea7f7b92f398e4,True,0
843,2c0ecdf04ffe35c6031fe2ae2b3a36f4,True,0
844,2c2551cc5f69dc282a7dea8202492a85,True,0
850,2c6c48665c4d007b795cbcb57da481bd,True,0
852,2c7fbcdc37fba555a38a39db3d9e41a5,True,0
868,2d40e0cc7dca11e4b2d8574532096c31,True,0
870,2d5241a2f2800671da3f56606fe86d60,True,0
875,2d6d1b01427ec2acbdbc2149559585fa,True,0
891,2e4419b8c1f923cff2781be045f4e0d5,True,0
897,2e968b23fc1bc1150bf1943e1b53b031,True,0
898,2e9caf35e4c86be7006e6588b6e56985,True,0
900,2ea80a706ffc413d3c8d8c666e869c43,True,0
929,30466896de60f54644199811cfb542f1,True,0
936,3095cc822fe5a15e277499c62b74d58e,True,0
978,321f7e75a35ff3b3cb8a4cfb0ab266c2,True,0
980,322c95c6c1933b38440b167705248747,True,0
986,32712661995a66ff7b5193dd351ce5d3,True,0
992,32d7d0b779485be0f92e8ef0f90cccdf,True,0
995,32f643fbd7e99181193edf3720888743,True,0
1009,3378210c38d195ff5a7e3b612cded052,True,0
1024,345eb9bedef2fdd0d6d16380ca43005e,True,0
1025,3460c8020f8edd51b37ebc33f350d914,True,0
1034,34df7bfc75ed0a71f5fea716bdb421f8,True,0
1036,34e635f644f6d4853776e2d74357b239,True,0
1051,35815525d36333e4253234cc83fd666c,True,0
1082,372dfcb677a2d0799d2f6e14d2177f1a,True,0
1085,378c7f385c547e5e7dc632510939a551,True,0
