image_id,expected_path,resolved_path,file_exists,availability_status,source_of_path
0005e8e3701dfb1dd93d53e2ff537b6e,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0005e8e3701dfb1dd93d53e2ff537b6e.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0005e8e3701dfb1dd93d53e2ff537b6e.dicom,True,available,dicom_root_recursive
0007d316f756b3fa0baea2ff514ce945,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0007d316f756b3fa0baea2ff514ce945.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0007d316f756b3fa0baea2ff514ce945.dicom,True,available,dicom_root_recursive
000d68e42b71d3eac10ccc077aba07c1,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\000d68e42b71d3eac10ccc077aba07c1.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\000d68e42b71d3eac10ccc077aba07c1.dicom,True,available,dicom_root_recursive
00150343289f317a0ad5629d5b7d9ef9,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00150343289f317a0ad5629d5b7d9ef9.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00150343289f317a0ad5629d5b7d9ef9.dicom,True,available,dicom_root_recursive
001d127bad87592efe45a5c7678f8b8d,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\001d127bad87592efe45a5c7678f8b8d.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\001d127bad87592efe45a5c7678f8b8d.dicom,True,available,dicom_root_recursive
00291f7aff0123ea76a59998effef229,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00291f7aff0123ea76a59998effef229.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00291f7aff0123ea76a59998effef229.dicom,True,available,dicom_root_recursive
0046f681f078851293c4e710c4466058,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0046f681f078851293c4e710c4466058.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0046f681f078851293c4e710c4466058.dicom,True,available,dicom_root_recursive
004d2bc2111d639f5e8441ced52d55cb,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\004d2bc2111d639f5e8441ced52d55cb.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\004d2bc2111d639f5e8441ced52d55cb.dicom,True,available,dicom_root_recursive
0061cf6d35e253b6e7f03940592cc35e,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0061cf6d35e253b6e7f03940592cc35e.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0061cf6d35e253b6e7f03940592cc35e.dicom,True,available,dicom_root_recursive
00675cd546313f912cadd4ad54415d69,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00675cd546313f912cadd4ad54415d69.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00675cd546313f912cadd4ad54415d69.dicom,True,available,dicom_root_recursive
008b3176a7248a0a189b5731ac8d2e95,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\008b3176a7248a0a189b5731ac8d2e95.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\008b3176a7248a0a189b5731ac8d2e95.dicom,True,available,dicom_root_recursive
009d4c31ebf87e51c5c8c160a4bd8006,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\009d4c31ebf87e51c5c8c160a4bd8006.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\009d4c31ebf87e51c5c8c160a4bd8006.dicom,True,available,dicom_root_recursive
009d837e29ba400e03856cf8d6a5b545,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\009d837e29ba400e03856cf8d6a5b545.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\009d837e29ba400e03856cf8d6a5b545.dicom,True,available,dicom_root_recursive
00a9f697d85a506d5b281f588addce4e,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00a9f697d85a506d5b281f588addce4e.dicom,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00a9f697d85a506d5b281f588addce4e.dicom,True,available,dicom_root_recursive
