image_id,n_radiologists,rad_ids
0005e8e3701dfb1dd93d53e2ff537b6e,3,R10;R8;R9
0007d316f756b3fa0baea2ff514ce945,3,R10;R8;R9
000d68e42b71d3eac10ccc077aba07c1,3,R10;R8;R9
00150343289f317a0ad5629d5b7d9ef9,3,R10;R8;R9
001d127bad87592efe45a5c7678f8b8d,3,R10;R8;R9
00291f7aff0123ea76a59998effef229,3,R10;R8;R9
0046f681f078851293c4e710c4466058,3,R10;R8;R9
004d2bc2111d639f5e8441ced52d55cb,3,R6;R8;R9
0061cf6d35e253b6e7f03940592cc35e,3,R10;R8;R9
00675cd546313f912cadd4ad54415d69,3,R10;R8;R9
008b3176a7248a0a189b5731ac8d2e95,3,R10;R8;R9
009d4c31ebf87e51c5c8c160a4bd8006,3,R10;R8;R9
009d837e29ba400e03856cf8d6a5b545,3,R10;R8;R9
00a9f697d85a506d5b281f588addce4e,3,R3;R5;R7
00aca42a24e4ea6066cca2546150c36e,3,R10;R8;R9
00bcb82818ea83d6a86df241762cd7d0,3,R10;R8;R9
00e25f831ccd21bd41b558cfccbf1be7,3,R1;R4;R5
00f2f97f74e086e1f82acc285ee4a5c5,3,R10;R8;R9
010018c93ed33ae56ed048ee54867e46,3,R10;R8;R9
0108949daa13dc94634a7d650a05c0bb,3,R10;R8;R9
010a3dbb67bc37800a041866844861b1,3,R10;R8;R9
011244ab511b20130d846f5f8f0c3866,3,R10;R8;R9
0114c5cd093c742334d5a5fa14140421,3,R10;R8;R9
011ae9520e81f1efe71c9d954ec07d09,3,R10;R8;R9
013893a5fa90241c65c3efcdbdd2cec1,3,R10;R8;R9
014e3dd712dc90f61da7ce8747d8c4c0,3,R10;R8;R9
01546d3e6175ceaabd7d92f0c566579d,3,R10;R8;R9
01570ee44031e4ebab6031501293bf66,3,R10;R8;R9
015d74d7d2667a9b93b8909283af38c8,3,R1;R16;R5
015e332b702e4829710941ab7265bd1d,3,R10;R8;R9
0162dad8330007f8f0daf43bcf4033f1,3,R10;R8;R9
0187da5fd71c7a2917346bf12a67bbe4,3,R10;R8;R9
01892129d76aaa1f59d4b22df8a14c0b,3,R14;R4;R7
018a2fe44c3451281ec338c27ecc9c53,3,R10;R8;R9
018b348fd699821cdbc5bdc0b329982c,3,R11;R14;R17
018ef9c5d5b20c5161a5c48703171c3b,3,R10;R8;R9
01a3c3d994d85ce5634d2d13c03fd4b0,3,R10;R8;R9
01afcfaabc406f0fe1797cb7fa6616c6,3,R10;R8;R9
01b0510a8d3b0860429536653db5eb21,3,R10;R8;R9
01c2b9fcb0384c84648ed76c736552a8,3,R10;R8;R9
01cbbeab94b4d2bfd5cd8a467fee46a7,3,R10;R8;R9
01d6446afde9fbf4332904bc331e9660,3,R10;R8;R9
01ee6e560f083255a630c41bba779405,3,R10;R8;R9
01f88c998eea22d21ee144bc3edfd261,3,R10;R8;R9
01fec681f2d698497151a88d6c5205a1,3,R10;R8;R9
020717d6ab0b440b37978d9bace9f9b2,3,R10;R8;R9
0211f9fe31142ba1e25fb6a2ea3fea38,3,R10;R8;R9
021ed4f8af985c0fc68335abb2cf2ed7,3,R10;R8;R9
02222df826791117f315ecb2b58c5b69,3,R10;R8;R9
023a8b8557d1fd59f272c63be6f3d4c0,3,R10;R8;R9
024f9140bd829c346fc91fcf4009d251,3,R10;R8;R9
025534801b62d61f1c1c9e571ea74695,3,R10;R8;R9
02562eb68a9c682f5f644fa7a099733f,3,R10;R8;R9
02617da0a33fe0446a508186417c2646,3,R10;R8;R9
027c56d37095bcc595ddd429f96902ae,3,R10;R8;R9
028fcc44d3104099480e897541a1ecc3,3,R10;R8;R9
02957c14fee52ac6d0617e6d86275a25,3,R10;R8;R9
02a4774868d677ef8ecff2168c0161c0,3,R10;R8;R9
02acf0e7d0932f9c6a06fd4bbe1f5d90,3,R10;R8;R9
02cbfa27d9e4b1d8c279932cd82e0730,3,R10;R11;R16
02cd1d17763c869ff3d4af5e28539456,3,R10;R8;R9
02d9d0c89022adc381c23e72add7c389,3,R10;R8;R9
02de1ec3340e75fd5e7294a84a0342a1,3,R10;R8;R9
02efc4e2e6e71e024fbfecb404a008a4,3,R10;R8;R9
02fe3eea41166a1d3eb75307a12c4a63,3,R10;R8;R9
032111ac5bb2e0cbb9a22745a77eef8f,3,R10;R8;R9
0339aac16e3dd93ee397315a224147a6,3,R10;R8;R9
033dae57cec0aca171d47090f299bed2,3,R10;R8;R9
033e1637bed9b9f3dccac9c6c419adc2,3,R10;R8;R9
03431b577d1ccf075e930c4c4913c079,3,R10;R8;R9
034cf2b503a9a7efe404f000fb988534,3,R10;R8;R9
035480fbf46e946e21e7dce78637c329,3,R10;R8;R9
035b53e8aabf8763537a296c291135d1,3,R11;R14;R17
036161ca6aa4daa43cc3bc55602e8960,3,R12;R16;R17
036b9096b099f0f6c5611da078f73e43,3,R10;R8;R9
03810755ae5721d65884360e3bccbf9b,3,R10;R8;R9
038a7c88fcd819549f430c1fd907658c,3,R10;R8;R9
038fc325ff4aa0a21c76d5dd7c740c89,3,R10;R8;R9
0391d2388a2442f14d055d5089a747c6,3,R10;R8;R9
039c6997248b3a6ba3c909af35fce0eb,3,R10;R8;R9
03a6078c0c12fb076b50ae017e590e19,3,R10;R8;R9
03cd593a310656563a5aa3886ff30380,3,R10;R8;R9
03dd99aa091caee7b0ce8efdf7f274d5,3,R10;R8;R9
03e6ecfa6f6fb33dfeac6ca4f9b459c9,3,R10;R8;R9
03f0bf0a7403c050a7ce574f98fd8ab6,3,R10;R8;R9
04031e57794b9e8861e3c65e935f11d2,3,R10;R8;R9
041081d11262c5f150e655f5e5ff0a2c,3,R11;R12;R14
041664dfb960a15686d7e9c4c7b4fd73,3,R2;R4;R6
041762ff7fe435f22ea7541e77bfeafa,3,R10;R8;R9
0424e80c4f0cae6ea9e65efeed75d5d0,3,R17;R3;R4
044c53b3fd48fc029318fbcee70ae0d1,3,R10;R8;R9
0452d38f45e4e79f91821e88bb812608,3,R10;R8;R9
0453de2faeb8d349af739a68d9dee1cb,3,R10;R8;R9
0464251a01ee7eeedd2a537dafc82844,3,R10;R8;R9
046ad82db74a4155eaff3586b0d1e068,3,R10;R8;R9
047182a6e86808669f896307dcd550c7,3,R10;R8;R9
0491b08361fdfb9359cad9d6a078f275,3,R10;R8;R9
04923676c5e29c25966fbd07fa12e2e8,3,R10;R8;R9
04994993c9e416f32ce24c7e7501d3be,3,R10;R8;R9
04aed38b30c4de9461c8a9940e99d811,3,R10;R8;R9
04bb8bd7ee6f88a16623fe5c6dd4da91,3,R10;R8;R9
04d1f1f8f52b15520f5895be87884fbd,3,R10;R8;R9
04d3efc7a608c4d58edb8c1b7f90a708,3,R10;R8;R9
04d462de5e02b54e3756875caebda95c,3,R10;R8;R9
04e78baf5f049a01b6b4f9a14f0b7c78,3,R11;R15;R16
04fbba5834f2abd713e66b3d0e6a678e,3,R10;R8;R9
0501d62912b9a6ff04eae4ffc56affc2,3,R10;R8;R9
0508d7ea85ba9be425657cc04c24a4f8,3,R10;R8;R9
051132a778e61a86eb147c7c6f564dfe,3,R10;R8;R9
05154c0bdf203a2bd583d95532d0297d,3,R10;R8;R9
051c2436c0acdb5e09d085c7e4a764f3,3,R10;R8;R9
051d112b55e4c9f9dfa53307cc2ffb62,3,R10;R8;R9
052cf8f6cb59da96df7386adf8d5f6a0,3,R10;R8;R9
053700069ddf3c4f1f6c477a48337836,3,R10;R8;R9
053cf0f0a75926ebd53f0265bad6aee4,3,R10;R8;R9
055ea315ae13148aae178aed27fa980d,3,R10;R8;R9
05721adb43ab7c061733568b274c006b,3,R10;R8;R9
059412ad34b2c48179f178e3138b5022,3,R10;R8;R9
059ec0fc0d6840cff6e268e46f85faa0,3,R13;R14;R15
05c0c802db4f100de8e2a9fa4aa62d14,3,R10;R8;R9
05d45c0a96b2c363f8b9a34a1f181c58,3,R10;R8;R9
05d676834dbed1639cb5eea70c1e307b,3,R10;R8;R9
05dfd35f424da60897dfafc2340e0891,3,R10;R8;R9
05e0b2465053b685ca37849eac3dd62f,3,R10;R8;R9
05e64c5b1e5f246ae6e8bc109e557bf4,3,R10;R8;R9
05f202ee95a17a4b1e6dbe1916ffe8bf,3,R10;R8;R9
05f4911da872a51502a16e8807ee673f,3,R10;R8;R9
06014542a807dabcf30867a2414b5e83,3,R10;R8;R9
0608fb82e9965a0a6f3607f93e304d2a,3,R10;R8;R9
061fa33f6ba0028fbbad8caaeac8d145,3,R10;R8;R9
0622cd29e4e0e4f198abf15614819ae8,3,R10;R8;R9
063319de25ce7edb9b1c6b8881290140,3,R10;R8;R9
064023f1ff95962a1eee46b9f05f7309,3,R10;R8;R9
0686521b0b8cf9426f253601b805fb52,3,R11;R15;R16
0690821a2e255ce175bfa7f36e308f63,3,R10;R8;R9
0697473448bb5e83ac926fe92271e7d8,3,R10;R8;R9
06b04918044786c36584a86273d72747,3,R13;R14;R16
06b2ff94bd0270f543deb7074c2a006a,3,R10;R8;R9
06dfb2b996464c7b0e4c5177d433edbe,3,R10;R8;R9
06e523e21ac668629092e85928b176a3,3,R10;R8;R9
06efcd37617307118fd48b3a493c133b,3,R12;R13;R16
06f3c1a8441d61da08aac07558ab5f05,3,R10;R8;R9
070d087c1badb18ee110e19cbe158a40,3,R10;R8;R9
070d372757bfbb0cee7d68fd50369fc4,3,R10;R8;R9
0710fe2b90ee68e54b84e795abb018df,3,R10;R8;R9
0712b4f7b21e2a06eacece3cf35e3059,3,R10;R8;R9
071ff9c782ead87dfa9b1c025c25e769,3,R10;R8;R9
074db6a4ab3aebd54fa0f628eb0e9b0e,3,R10;R8;R9
0760a14308badcbd370c6866c9db3a0a,3,R10;R8;R9
0777120fdd60f6a3cf8eaf3b8cf3585a,3,R10;R8;R9
077c76dffde69c0b90c28d78ef2ac31e,3,R10;R8;R9
0797fa5e2725c9b801e6d01cfa9a09da,3,R10;R8;R9
07ab6d47d868962851d22d4d1249593d,3,R10;R8;R9
07ac9545dcc585901865f7f958a7857d,3,R10;R8;R9
07bedc010fd13a8e5903473ebcf39cd1,3,R10;R8;R9
07c12d0f562f17579aabc18c11e2ad54,3,R10;R8;R9
07d004fabfd7246f9ed4283dd5237deb,3,R10;R8;R9
07d82e7e5749cbc21633134f489a7fbf,3,R10;R8;R9
07db76e6cc063ce8bb90de18216e8ccf,3,R10;R8;R9
07e5378ad3928091c08dded1f6b5353d,3,R1;R17;R2
081d1700020b6bf0099f1e4d8aeec0f3,3,R10;R8;R9
083a89dfc9a74a3f809035f886634ee2,3,R10;R8;R9
0844f274f2a388e70231d3133754ac35,3,R10;R8;R9
0853ab3a3dbadae1e6f28b933ddff809,3,R10;R8;R9
08726b7ba2f04a33ff1b878b75498776,3,R10;R8;R9
088006f2453c4183b1ef46fb607bc31c,3,R10;R8;R9
088d83359d1a00ba24251220ace42edc,3,R10;R8;R9
089a1c26766c10e2d8c4cdb86ed769dc,3,R10;R4;R8
08ce56202e44175674fc5f5517e74db4,3,R10;R8;R9
08e3d3783927a15d35137c756c1a7e0b,3,R10;R8;R9
0905c0dc82fb8fe621c43f53719a55ca,3,R10;R8;R9
0906a09b04f8d82c2cad5b820602a403,3,R10;R8;R9
090b30ca55ab2a592cd3b24c9407a2bf,3,R10;R8;R9
09175449df9374e0f6afe517f7b6249f,3,R10;R8;R9
091ce012ed7cb036288d2abdb32504c2,3,R10;R8;R9
09376dd7b6deaec0aaf1a2feb7833245,3,R10;R8;R9
095c13d937c0dd9f547035344ba6c6c4,3,R10;R8;R9
096688dacee6b1a1a5660ad15024a6f9,3,R10;R8;R9
09790cae0f405ce0fe4b003dadfc18c7,3,R10;R8;R9
097c63f9c6d46cfe5bd4937f277fbdbd,3,R10;R8;R9
098d7923f09b8f6f163143ad97dacc12,3,R10;R8;R9
09afc85ef67340016e0c8a1c70163769,3,R10;R8;R9
09b85abab0d2b7f151815538100717b2,3,R10;R8;R9
