annotation_id,image_id,category_id,class_name,x,y,w,h,image_width,image_height,raw_area,normalized_width,normalized_height,normalized_area,aspect_ratio,center_x_normalized,center_y_normalized,primary_size_category
370,1,8,Lung Opacity,900.0,587.0,305.0,301.0,3072,3072,91805.0,0.09928385416666667,0.09798177083333333,0.00972800784640842,1.0132890365448506,0.3426106770833333,0.24007161458333334,small
7231,1,9,Nodule/Mass,932.0,567.0,265.0,329.0,3072,3072,87185.0,0.08626302083333333,0.10709635416666667,0.009238455030653212,0.8054711246200608,0.3465169270833333,0.23811848958333334,small
8038,1,7,Infiltration,900.0,587.0,305.0,301.0,3072,3072,91805.0,0.09928385416666667,0.09798177083333333,0.00972800784640842,1.0132890365448506,0.3426106770833333,0.24007161458333334,small
8958,1,8,Lung Opacity,905.0,583.0,298.0,307.0,3072,3072,91486.0,0.09700520833333333,0.09993489583333333,0.009694205390082465,0.9706840390879479,0.3430989583333333,0.23974609375,small
25815,1,5,Consolidation,932.0,567.0,265.0,329.0,3072,3072,87185.0,0.08626302083333333,0.10709635416666667,0.009238455030653212,0.8054711246200608,0.3465169270833333,0.23811848958333334,small
4457,4,12,Pleural thickening,254.0,1261.0,148.0,173.0,2525,2508,25604.0,0.05861386138613861,0.0689792663476874,0.004043141156220885,0.8554913294797688,0.1299009900990099,0.5372807017543859,small
4516,4,1,Aortic enlargement,1240.0,464.0,457.0,400.0,2525,2508,182800.0,0.18099009900990098,0.1594896331738437,0.028866044499186762,1.1425,0.5815841584158415,0.2647527910685805,medium
10051,4,12,Pleural thickening,209.0,1199.0,343.0,197.0,2525,2508,67571.0,0.13584158415841585,0.07854864433811802,0.010670172280385934,1.7411167512690355,0.1506930693069307,0.5173444976076556,medium
11202,4,14,Pulmonary fibrosis,1932.0,1114.0,271.0,117.0,2525,2508,31707.0,0.10732673267326732,0.04665071770334928,0.005006869107963428,2.3162393162393164,0.8188118811881188,0.46750398724082937,small
17458,4,11,Pleural effusion,1876.0,1103.0,363.0,231.0,2525,2508,83853.0,0.14376237623762375,0.09210526315789473,0.01324127149557061,1.5714285714285714,0.8148514851485148,0.48584529505582136,medium
19016,4,11,Pleural effusion,209.0,1199.0,343.0,197.0,2525,2508,67571.0,0.13584158415841585,0.07854864433811802,0.010670172280385934,1.7411167512690355,0.1506930693069307,0.5173444976076556,medium
20037,4,12,Pleural thickening,1800.0,1019.0,469.0,272.0,2525,2508,127568.0,0.18574257425742574,0.10845295055821372,0.020144330222495933,1.724264705882353,0.8057425742574258,0.4605263157894737,medium
21931,4,10,Other lesion,1129.0,302.0,218.0,543.0,2525,2508,118374.0,0.08633663366336633,0.21650717703349281,0.018692500829030272,0.4014732965009208,0.4902970297029703,0.2286682615629984,medium
24733,4,1,Aortic enlargement,869.0,477.0,797.0,402.0,2525,2508,320394.0,0.31564356435643565,0.16028708133971292,0.05059358567435691,1.9825870646766168,0.501980198019802,0.2703349282296651,medium
25150,4,8,Lung Opacity,1876.0,1103.0,363.0,231.0,2525,2508,83853.0,0.14376237623762375,0.09210526315789473,0.01324127149557061,1.5714285714285714,0.8148514851485148,0.48584529505582136,medium
25468,4,11,Pleural effusion,254.0,1261.0,148.0,173.0,2525,2508,25604.0,0.05861386138613861,0.0689792663476874,0.004043141156220885,0.8554913294797688,0.1299009900990099,0.5372807017543859,small
29317,4,8,Lung Opacity,1932.0,1114.0,271.0,117.0,2525,2508,31707.0,0.10732673267326732,0.04665071770334928,0.005006869107963428,2.3162393162393164,0.8188118811881188,0.46750398724082937,small
29374,4,11,Pleural effusion,2054.0,1112.0,228.0,217.0,2525,2508,49476.0,0.0902970297029703,0.08652312599681021,0.007812781278127812,1.0506912442396312,0.8586138613861386,0.4866427432216906,small
29825,4,4,Cardiomegaly,818.0,1053.0,1095.0,287.0,2525,2508,314265.0,0.43366336633663366,0.11443381180223286,0.049625752048889096,3.8153310104529616,0.5407920792079208,0.47707336523126,medium
33366,4,14,Pulmonary fibrosis,629.0,1185.0,192.0,80.0,2525,2508,15360.0,0.07603960396039604,0.03189792663476874,0.0024255057084655836,2.4,0.2871287128712871,0.48843700159489634,small
33389,4,12,Pleural thickening,2054.0,1112.0,228.0,217.0,2525,2508,49476.0,0.0902970297029703,0.08652312599681021,0.007812781278127812,1.0506912442396312,0.8586138613861386,0.4866427432216906,small
33660,4,1,Aortic enlargement,1347.0,468.0,328.0,381.0,2525,2508,124968.0,0.1299009900990099,0.1519138755980861,0.019733762849969208,0.8608923884514436,0.5984158415841584,0.2625598086124402,medium
1222,5,14,Pulmonary fibrosis,2042.0,631.0,183.0,387.0,3072,3072,70821.0,0.0595703125,0.1259765625,0.007504463195800781,0.4728682170542636,0.6944986979166666,0.2683919270833333,small
11214,5,14,Pulmonary fibrosis,1069.0,373.0,229.0,458.0,3072,3072,104882.0,0.07454427083333333,0.14908854166666666,0.0111136966281467,0.5,0.38525390625,0.19596354166666666,medium
18819,5,3,Calcification,1069.0,373.0,229.0,458.0,3072,3072,104882.0,0.07454427083333333,0.14908854166666666,0.0111136966281467,0.5,0.38525390625,0.19596354166666666,medium
27743,5,14,Pulmonary fibrosis,2052.0,852.0,60.0,32.0,3072,3072,1920.0,0.01953125,0.010416666666666666,0.00020345052083333334,1.875,0.677734375,0.2825520833333333,small
28432,5,14,Pulmonary fibrosis,839.0,381.0,456.0,683.0,3072,3072,311448.0,0.1484375,0.22233072916666666,0.033002217610677086,0.6676427525622255,0.3473307291666667,0.23518880208333334,medium
34691,5,14,Pulmonary fibrosis,884.0,379.0,419.0,715.0,3072,3072,299585.0,0.13639322916666666,0.23274739583333334,0.03174516889784071,0.586013986013986,0.35595703125,0.23974609375,medium
1397,7,1,Aortic enlargement,1024.0,681.0,338.0,288.0,2304,2880,97344.0,0.1467013888888889,0.1,0.014670138888888889,1.1736111111111112,0.5177951388888888,0.2864583333333333,medium
4407,7,7,Infiltration,315.0,559.0,317.0,255.0,2304,2880,80835.0,0.13758680555555555,0.08854166666666667,0.01218216507523148,1.2431372549019608,0.2055121527777778,0.23836805555555557,medium
15454,7,14,Pulmonary fibrosis,1326.0,477.0,509.0,631.0,2304,2880,321179.0,0.2209201388888889,0.21909722222222222,0.04840298876350309,0.8066561014263075,0.6859809027777778,0.2751736111111111,medium
16578,7,12,Pleural thickening,1545.0,417.0,264.0,271.0,2304,2880,71544.0,0.11458333333333333,0.09409722222222222,0.01078197337962963,0.974169741697417,0.7278645833333334,0.1918402777777778,medium
19423,7,14,Pulmonary fibrosis,1307.0,593.0,522.0,594.0,2304,2880,310068.0,0.2265625,0.20625,0.046728515625,0.8787878787878788,0.6805555555555556,0.3090277777777778,medium
22403,7,14,Pulmonary fibrosis,412.0,594.0,325.0,388.0,2304,2880,126100.0,0.1410590277777778,0.13472222222222222,0.019003785686728395,0.8376288659793815,0.24934895833333334,0.27361111111111114,medium
25663,7,14,Pulmonary fibrosis,316.0,553.0,557.0,577.0,2304,2880,321389.0,0.2417534722222222,0.20034722222222223,0.04843463662229938,0.9653379549393414,0.2580295138888889,0.2921875,medium
25836,7,12,Pleural thickening,478.0,398.0,231.0,172.0,2304,2880,39732.0,0.10026041666666667,0.059722222222222225,0.005987774884259259,1.3430232558139534,0.2575954861111111,0.16805555555555557,small
26867,7,14,Pulmonary fibrosis,674.0,501.0,90.0,47.0,2304,2880,4230.0,0.0390625,0.016319444444444445,0.0006374782986111111,1.9148936170212767,0.3120659722222222,0.18211805555555555,small
30814,7,14,Pulmonary fibrosis,315.0,559.0,317.0,255.0,2304,2880,80835.0,0.13758680555555555,0.08854166666666667,0.01218216507523148,1.2431372549019608,0.2055121527777778,0.23836805555555557,medium
35838,7,14,Pulmonary fibrosis,1332.0,567.0,441.0,559.0,2304,2880,246519.0,0.19140625,0.19409722222222223,0.03715142144097222,0.7889087656529516,0.673828125,0.2939236111111111,medium
5753,9,14,Pulmonary fibrosis,596.0,617.0,132.0,150.0,2540,3072,19800.0,0.05196850393700787,0.048828125,0.0025375246062992124,0.88,0.2606299212598425,0.22526041666666666,small
18594,9,3,Calcification,1832.0,1705.0,144.0,110.0,2540,3072,15840.0,0.05669291338582677,0.035807291666666664,0.00203001968503937,1.309090909090909,0.7496062992125985,0.5729166666666666,small
19839,9,14,Pulmonary fibrosis,1832.0,1705.0,144.0,110.0,2540,3072,15840.0,0.05669291338582677,0.035807291666666664,0.00203001968503937,1.309090909090909,0.7496062992125985,0.5729166666666666,small
23383,9,1,Aortic enlargement,1246.0,801.0,172.0,254.0,2540,3072,43688.0,0.06771653543307087,0.08268229166666667,0.005598958333333333,0.6771653543307087,0.5244094488188976,0.3020833333333333,small
31693,9,9,Nodule/Mass,678.0,691.0,108.0,64.0,2540,3072,6912.0,0.04251968503937008,0.020833333333333332,0.0008858267716535433,1.6875,0.28818897637795277,0.2353515625,small
32242,9,3,Calcification,1868.0,1707.0,102.0,106.0,2540,3072,10812.0,0.04015748031496063,0.034505208333333336,0.0013856422244094488,0.9622641509433962,0.7555118110236221,0.5729166666666666,small
33281,9,3,Calcification,1872.0,1696.0,103.0,110.0,2540,3072,11330.0,0.04055118110236221,0.035807291666666664,0.001452027969160105,0.9363636363636364,0.7572834645669292,0.5699869791666666,small
3641,11,9,Nodule/Mass,1917.0,1512.0,146.0,136.0,2505,3147,19856.0,0.058283433133732535,0.04321576104226247,0.002518762919030068,1.0735294117647058,0.7944111776447106,0.502065459167461,small
5235,11,9,Nodule/Mass,1618.0,1003.0,142.0,146.0,2505,3147,20732.0,0.056686626746506985,0.04639339053066412,0.0026298848125166888,0.9726027397260274,0.6742514970059881,0.3419129329520178,small
5882,11,9,Nodule/Mass,1916.0,1494.0,151.0,157.0,2505,3147,23707.0,0.06027944111776447,0.04988878296790594,0.0030072679553508172,0.9617834394904459,0.7950099800399202,0.4996822370511598,small
8757,11,9,Nodule/Mass,1722.0,1413.0,171.0,168.0,2505,3147,28728.0,0.06826347305389222,0.05338417540514776,0.0036441892192735597,1.0178571428571428,0.7215568862275449,0.47569113441372735,small
