image_id,independent_renderer_status,comparable,note
b3f4af84fa71fe204eb105ce430deef3,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
4b001bab36d94f73c1ead3ab74690dbc,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
0d30dc1e0070e7a934f39452e3ad3b83,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
498ac0c4815a890629cf509446a47238,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
191af4a0c5c47c05b06b88f7d6ec671d,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
3fd3aa2d64f365c666ce7de3d5352226,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
b770403a1d0ab861f1944f8b896afcae,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
dcb081bb5e1dac41000e96fc37c8c322,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
ff612a13f0bf475515259b986735c4e4,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
18ca65f3991cd9e0339abe5d0dcdfc71,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
144e272e04daf6ac8d36548ea766da37,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
f52ec4da5edc58fc2f93c00316c38fe7,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
df5aa1123fb533c8865b8eaf0bb9c5c8,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
61e0b38cea96d57adb044ac496e556ff,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
