coco_image_id,canonical_image_id,original_image_id,file_name,source_is_negative,coco_annotation_count,zero_annotation_pass
6,5,00291f7aff0123ea76a59998effef229,train/00291f7aff0123ea76a59998effef229.dicom,True,0,True
8,7,004d2bc2111d639f5e8441ced52d55cb,train/004d2bc2111d639f5e8441ced52d55cb.dicom,True,0,True
14,13,00a9f697d85a506d5b281f588addce4e,train/00a9f697d85a506d5b281f588addce4e.dicom,True,0,True
17,16,00e25f831ccd21bd41b558cfccbf1be7,train/00e25f831ccd21bd41b558cfccbf1be7.dicom,True,0,True
29,28,015d74d7d2667a9b93b8909283af38c8,train/015d74d7d2667a9b93b8909283af38c8.dicom,True,0,True
33,32,01892129d76aaa1f59d4b22df8a14c0b,train/01892129d76aaa1f59d4b22df8a14c0b.dicom,True,0,True
60,59,02cbfa27d9e4b1d8c279932cd82e0730,train/02cbfa27d9e4b1d8c279932cd82e0730.dicom,True,0,True
66,65,032111ac5bb2e0cbb9a22745a77eef8f,train/032111ac5bb2e0cbb9a22745a77eef8f.dicom,True,0,True
74,73,036161ca6aa4daa43cc3bc55602e8960,train/036161ca6aa4daa43cc3bc55602e8960.dicom,True,0,True
88,87,041664dfb960a15686d7e9c4c7b4fd73,train/041664dfb960a15686d7e9c4c7b4fd73.dicom,True,0,True
90,89,0424e80c4f0cae6ea9e65efeed75d5d0,train/0424e80c4f0cae6ea9e65efeed75d5d0.dicom,True,0,True
105,104,04e78baf5f049a01b6b4f9a14f0b7c78,train/04e78baf5f049a01b6b4f9a14f0b7c78.dicom,True,0,True
132,131,063319de25ce7edb9b1c6b8881290140,train/063319de25ce7edb9b1c6b8881290140.dicom,True,0,True
160,159,07e5378ad3928091c08dded1f6b5353d,train/07e5378ad3928091c08dded1f6b5353d.dicom,True,0,True
168,167,089a1c26766c10e2d8c4cdb86ed769dc,train/089a1c26766c10e2d8c4cdb86ed769dc.dicom,True,0,True
188,187,09ebaedff630f8fa4d5d752f0beb34f2,train/09ebaedff630f8fa4d5d752f0beb34f2.dicom,True,0,True
