original_image_id,canonical_image_id,coco_image_id,dicom_relative_path,pilot_jpg_relative_path,source_dicom_sha256,pre_jpeg_uint8_sha256,reference_png_relative_path,reference_png_byte_sha256,reference_png_decoded_pixel_sha256,reference_png_exact_pixel_match,output_jpg_sha256,decoded_jpg_uint8_sha256,protocol_version,protocol_sha256,jpeg_quality,decoder_backend,transfer_syntax_uid,sop_class_uid,modality,rows,columns,bits_allocated,bits_stored,high_bit,pixel_representation,samples_per_pixel,photometric_interpretation,number_of_frames_effective,modality_branch,voi_branch,presentation_lut_shape,presentation_lut_sequence_present,presentation_inversion_applied,presentation_inversion_count,presentation_metadata_conflict,padding_present,padding_pixel_count,pre_jpeg_channel_count,pre_jpeg_mode,model_input_channel_adaptation_applied,pixel_matrix_order_unchanged,rotation_applied,flip_applied,transpose_applied,exif_orientation_transform_applied
b3f4af84fa71fe204eb105ce430deef3,3469,3470,train/b3f4af84fa71fe204eb105ce430deef3.dicom,images_jpg_pilot/q95/train/b3f4af84fa71fe204eb105ce430deef3.jpg,c9a2466f5fb93a2b70a6651d71675c1001e230508ddc29fba2d10dcd1a0c5aee,f7f4a2135e79953c7622e6bd01b5ea896ca4bf000c8c6679848ee05e08c75801,images_jpg_pilot/reference_uint8/train/b3f4af84fa71fe204eb105ce430deef3.png,32715e984cf488e26c83db28460722a6e615b273a8b44da31534cb347996ba26,f7f4a2135e79953c7622e6bd01b5ea896ca4bf000c8c6679848ee05e08c75801,True,1ba14f0e686bb445405b5844f422c90cd93d21d8a1a3d42dc479e21636dc5642,f6c5677b04f8f1525ac80a3e2472d563d858674a547bec9317f16221615e92da,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,95,pillow:pillow,1.2.840.10008.1.2.4.90,ABSENT,ABSENT,1416,1320,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
b3f4af84fa71fe204eb105ce430deef3,3469,3470,train/b3f4af84fa71fe204eb105ce430deef3.dicom,images_jpg_pilot/q100/train/b3f4af84fa71fe204eb105ce430deef3.jpg,c9a2466f5fb93a2b70a6651d71675c1001e230508ddc29fba2d10dcd1a0c5aee,f7f4a2135e79953c7622e6bd01b5ea896ca4bf000c8c6679848ee05e08c75801,images_jpg_pilot/reference_uint8/train/b3f4af84fa71fe204eb105ce430deef3.png,32715e984cf488e26c83db28460722a6e615b273a8b44da31534cb347996ba26,f7f4a2135e79953c7622e6bd01b5ea896ca4bf000c8c6679848ee05e08c75801,True,bee5542ab5e1bcd9eaf02efee4916dbc65fed9789d2063f525811d68a55c802c,22c66da4a185dbbb58cd84e6ff1bfdfa497090534e1011051b6268ebe0758222,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,100,pillow:pillow,1.2.840.10008.1.2.4.90,ABSENT,ABSENT,1416,1320,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
4b001bab36d94f73c1ead3ab74690dbc,1438,1439,train/4b001bab36d94f73c1ead3ab74690dbc.dicom,images_jpg_pilot/q95/train/4b001bab36d94f73c1ead3ab74690dbc.jpg,af6d3b65205d2e481c735107899e8389b6004375dce637c650324a412dbebe2d,57a84f51b47566b8b9229e902ecdb57b1072e05e2268d85b28c744b0ffeaf017,images_jpg_pilot/reference_uint8/train/4b001bab36d94f73c1ead3ab74690dbc.png,6cd20d346024d630128db467c56fe2f93dd2f4b292102c6acb9e6a22b0627db4,57a84f51b47566b8b9229e902ecdb57b1072e05e2268d85b28c744b0ffeaf017,True,d02e5873df491a4d86a00091e2fc3e52199e7388c304a2fb281e1e0953c6b643,a18cf716649a3485e7ed434c89f451af3da98cd38e936ae6104875a59687bd1c,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,95,pydicom_native,1.2.840.10008.1.2,ABSENT,ABSENT,2488,1936,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
4b001bab36d94f73c1ead3ab74690dbc,1438,1439,train/4b001bab36d94f73c1ead3ab74690dbc.dicom,images_jpg_pilot/q100/train/4b001bab36d94f73c1ead3ab74690dbc.jpg,af6d3b65205d2e481c735107899e8389b6004375dce637c650324a412dbebe2d,57a84f51b47566b8b9229e902ecdb57b1072e05e2268d85b28c744b0ffeaf017,images_jpg_pilot/reference_uint8/train/4b001bab36d94f73c1ead3ab74690dbc.png,6cd20d346024d630128db467c56fe2f93dd2f4b292102c6acb9e6a22b0627db4,57a84f51b47566b8b9229e902ecdb57b1072e05e2268d85b28c744b0ffeaf017,True,54323a37dde0f2b8f236ec669a3f66427d9cd044ebbfd1d695cd2df52f494b39,95993270bb106ac9eeadfffe352021afe99d6215c06cceb529576466f9c2ba55,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,100,pydicom_native,1.2.840.10008.1.2,ABSENT,ABSENT,2488,1936,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
0d30dc1e0070e7a934f39452e3ad3b83,261,262,train/0d30dc1e0070e7a934f39452e3ad3b83.dicom,images_jpg_pilot/q95/train/0d30dc1e0070e7a934f39452e3ad3b83.jpg,d48c6a082b0b8fb462abca5e83379396a2195163b24b0dc0d8efa294bbcadcf0,698a427d2e4a641162457d7d69832569a037f238285a0a5b45a2e28a6249ca7d,images_jpg_pilot/reference_uint8/train/0d30dc1e0070e7a934f39452e3ad3b83.png,75234ffc9bb75d6d93ba7d0b924876633725f24d9704bdde38c8ad32ed014f2d,698a427d2e4a641162457d7d69832569a037f238285a0a5b45a2e28a6249ca7d,True,b87f794754d7c3f6a6336ff41624a8e78d5d085a732c6ba059ae89f8626045ba,20ce78dcd49ee230ffc8b717f18f2f34d5695009d9d6597f929ac340e7fe9f35,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,95,pillow:pillow,1.2.840.10008.1.2.4.90,ABSENT,ABSENT,2344,2080,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
0d30dc1e0070e7a934f39452e3ad3b83,261,262,train/0d30dc1e0070e7a934f39452e3ad3b83.dicom,images_jpg_pilot/q100/train/0d30dc1e0070e7a934f39452e3ad3b83.jpg,d48c6a082b0b8fb462abca5e83379396a2195163b24b0dc0d8efa294bbcadcf0,698a427d2e4a641162457d7d69832569a037f238285a0a5b45a2e28a6249ca7d,images_jpg_pilot/reference_uint8/train/0d30dc1e0070e7a934f39452e3ad3b83.png,75234ffc9bb75d6d93ba7d0b924876633725f24d9704bdde38c8ad32ed014f2d,698a427d2e4a641162457d7d69832569a037f238285a0a5b45a2e28a6249ca7d,True,8adb887af72efb2f3c0ed3958a7a3f487bef514af32d5429d75f847af211a19e,6623069ce8d842169523764b13c8cef6c0b83289cab8c09e57e63249979e5b48,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,100,pillow:pillow,1.2.840.10008.1.2.4.90,ABSENT,ABSENT,2344,2080,16,12,11,0,1,MONOCHROME1,1,identity,theoretical_fallback,ABSENT,False,True,1,False,False,0,1,L,False,True,False,False,False,False
498ac0c4815a890629cf509446a47238,1420,1421,train/498ac0c4815a890629cf509446a47238.dicom,images_jpg_pilot/q95/train/498ac0c4815a890629cf509446a47238.jpg,6c61000cdd47791678ac0f0bebf55173276e2a71635b26f5863e57f7460db976,a6f4a3cc26ede37ab2ff2993d3278df00833959a289f63fa7fe4f1454c2cdcaa,images_jpg_pilot/reference_uint8/train/498ac0c4815a890629cf509446a47238.png,2b5900ed31e48144e3111c5ac2d99bcf4b9b0627f908f6d5a4bb78b0f7350e36,a6f4a3cc26ede37ab2ff2993d3278df00833959a289f63fa7fe4f1454c2cdcaa,True,0ed83bced7ebb2704a1d7a3c4bac65639284e501ab2526e22418bc9854536041,d4703a3f990962bb51a60be88abf7a6c30eb5c44013f70915670cf0b438b413f,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,95,pydicom_native,1.2.840.10008.1.2,ABSENT,ABSENT,3072,3072,16,14,13,0,1,MONOCHROME2,1,identity,windowing,ABSENT,False,False,0,False,False,0,1,L,False,True,False,False,False,False
498ac0c4815a890629cf509446a47238,1420,1421,train/498ac0c4815a890629cf509446a47238.dicom,images_jpg_pilot/q100/train/498ac0c4815a890629cf509446a47238.jpg,6c61000cdd47791678ac0f0bebf55173276e2a71635b26f5863e57f7460db976,a6f4a3cc26ede37ab2ff2993d3278df00833959a289f63fa7fe4f1454c2cdcaa,images_jpg_pilot/reference_uint8/train/498ac0c4815a890629cf509446a47238.png,2b5900ed31e48144e3111c5ac2d99bcf4b9b0627f908f6d5a4bb78b0f7350e36,a6f4a3cc26ede37ab2ff2993d3278df00833959a289f63fa7fe4f1454c2cdcaa,True,1072bde89ab412b58203c228127eb8e37cca03bbd60d5a85893e0ed9b561ac4f,90d4252bcf6d7964c5ab151307ff94173829f5ca6a493d8a47c933abb5a7f25b,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,100,pydicom_native,1.2.840.10008.1.2,ABSENT,ABSENT,3072,3072,16,14,13,0,1,MONOCHROME2,1,identity,windowing,ABSENT,False,False,0,False,False,0,1,L,False,True,False,False,False,False
191af4a0c5c47c05b06b88f7d6ec671d,479,480,train/191af4a0c5c47c05b06b88f7d6ec671d.dicom,images_jpg_pilot/q95/train/191af4a0c5c47c05b06b88f7d6ec671d.jpg,ee02b3a0a301adbda2530d023d0382212a9b8f911aa57ccd15a4f85ff79fc1d7,05124da8321795c18f46b4f6e9c10ccfa1e85ca555674bd6d8e2e1fd44873c8c,images_jpg_pilot/reference_uint8/train/191af4a0c5c47c05b06b88f7d6ec671d.png,a7fcc7dbbcbce65889c21acc5d1674109fe50f16fe0698a4608150a2cc6e05fe,05124da8321795c18f46b4f6e9c10ccfa1e85ca555674bd6d8e2e1fd44873c8c,True,1bd63686e3c0c5a5156faa3b8269fba804c1e3820ad4ec04f1d6961d1890edc1,21c213a9f7d132c09b4dc4745fc3ed83a3fd609f3086a2d8f5eda7942030b202,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,95,pydicom_native,1.2.840.10008.1.2.1,ABSENT,ABSENT,3408,3320,16,12,11,0,1,MONOCHROME2,1,rescale,windowing,ABSENT,False,False,0,False,False,0,1,L,False,True,False,False,False,False
191af4a0c5c47c05b06b88f7d6ec671d,479,480,train/191af4a0c5c47c05b06b88f7d6ec671d.dicom,images_jpg_pilot/q100/train/191af4a0c5c47c05b06b88f7d6ec671d.jpg,ee02b3a0a301adbda2530d023d0382212a9b8f911aa57ccd15a4f85ff79fc1d7,05124da8321795c18f46b4f6e9c10ccfa1e85ca555674bd6d8e2e1fd44873c8c,images_jpg_pilot/reference_uint8/train/191af4a0c5c47c05b06b88f7d6ec671d.png,a7fcc7dbbcbce65889c21acc5d1674109fe50f16fe0698a4608150a2cc6e05fe,05124da8321795c18f46b4f6e9c10ccfa1e85ca555674bd6d8e2e1fd44873c8c,True,d5c310a769068e63e55e67d0ca9a00abfa8ea5f50d98915b98eed1e4fe7c40ac,05051bcef4bbb0e0ae862054804a25138f01b008c67f23db5e138172df225b34,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,100,pydicom_native,1.2.840.10008.1.2.1,ABSENT,ABSENT,3408,3320,16,12,11,0,1,MONOCHROME2,1,rescale,windowing,ABSENT,False,False,0,False,False,0,1,L,False,True,False,False,False,False
